# freq (s^-1)	real_htilde_+ (strain s)	imag_htilde_+ (strain s)	real_htilde_x (strain s)	imag_htilde_x (strain s)
390.125000	-2.667214e-44	-5.516954e-45	5.516954e-45	-2.667214e-44
390.250000	-2.713933e-44	-1.655417e-45	1.655417e-45	-2.713933e-44
390.375000	-2.705147e-44	2.225976e-45	-2.225976e-45	-2.705147e-44
390.500000	-2.641253e-44	6.048031e-45	-6.048031e-45	-2.641253e-44
390.625000	-2.523766e-44	9.733097e-45	-9.733097e-45	-2.523766e-44
390.750000	-2.355291e-44	1.320664e-44	-1.320664e-44	-2.355291e-44
390.875000	-2.139457e-44	1.639875e-44	-1.639875e-44	-2.139457e-44
391.000000	-1.880842e-44	1.924554e-44	-1.924554e-44	-1.880842e-44
391.125000	-1.584877e-44	2.169042e-44	-2.169042e-44	-1.584877e-44
391.250000	-1.257730e-44	2.368521e-44	-2.368521e-44	-1.257730e-44
391.375000	-9.061752e-45	2.519109e-44	-2.519109e-44	-9.061752e-45
391.500000	-5.374568e-45	2.617935e-44	-2.617935e-44	-5.374568e-45
391.625000	-1.591364e-45	2.663192e-44	-2.663192e-44	-1.591364e-45
391.750000	2.210608e-45	2.654169e-44	-2.654169e-44	2.210608e-45
391.875000	5.954041e-45	2.591261e-44	-2.591261e-44	5.954041e-45
392.000000	9.563140e-45	2.475954e-44	-2.475954e-44	9.563140e-45
392.125000	1.296516e-44	2.310794e-44	-2.310794e-44	1.296516e-44
392.250000	1.609185e-44	2.099327e-44	-2.099327e-44	1.609185e-44
392.375000	1.888086e-44	1.846023e-44	-1.846023e-44	1.888086e-44
392.500000	2.127691e-44	1.556183e-44	-1.556183e-44	2.127691e-44
392.625000	2.323296e-44	1.235826e-44	-1.235826e-44	2.323296e-44
392.750000	2.471107e-44	8.915637e-45	-8.915637e-45	2.471107e-44
392.875000	2.568313e-44	5.304661e-45	-5.304661e-45	2.568313e-44
393.000000	2.613143e-44	1.599135e-45	-1.599135e-45	2.613143e-44
393.125000	2.604891e-44	-2.125529e-45	2.125529e-45	2.604891e-44
393.250000	2.543930e-44	-5.793849e-45	5.793849e-45	2.543930e-44
393.375000	2.431700e-44	-9.331799e-45	9.331799e-45	2.431700e-44
393.500000	2.270669e-44	-1.266830e-44	1.266830e-44	2.270669e-44
393.625000	2.064285e-44	-1.573664e-44	1.573664e-44	2.064285e-44
393.750000	1.816895e-44	-1.847583e-44	1.847583e-44	1.816895e-44
393.875000	1.533661e-44	-2.083175e-44	2.083175e-44	1.533661e-44
394.000000	1.220444e-44	-2.275830e-44	2.275830e-44	1.220444e-44
394.125000	8.836884e-45	-2.421821e-44	2.421821e-44	8.836884e-45
394.250000	5.302867e-45	-2.518379e-44	2.518379e-44	5.302867e-45
394.375000	1.674382e-45	-2.563749e-44	2.563749e-44	1.674382e-45
394.500000	-1.974970e-45	-2.557210e-44	2.557210e-44	-1.974970e-45
394.625000	-5.571471e-45	-2.499097e-44	2.499097e-44	-5.571471e-45
394.750000	-9.042782e-45	-2.390781e-44	2.390781e-44	-9.042782e-45
394.875000	-1.231939e-44	-2.234641e-44	2.234641e-44	-1.231939e-44
395.000000	-1.533598e-44	-2.034008e-44	2.034008e-44	-1.533598e-44
395.125000	-1.803279e-44	-1.793098e-44	1.793098e-44	-1.803279e-44
395.250000	-2.035670e-44	-1.516920e-44	1.516920e-44	-2.035670e-44
395.375000	-2.226236e-44	-1.211173e-44	1.211173e-44	-2.226236e-44
395.500000	-2.371300e-44	-8.821259e-45	8.821259e-45	-2.371300e-44
395.625000	-2.468120e-44	-5.364929e-45	5.364929e-45	-2.468120e-44
395.750000	-2.514932e-44	-1.812924e-45	1.812924e-45	-2.514932e-44
395.875000	-2.510988e-44	1.762936e-45	-1.762936e-45	-2.510988e-44
396.000000	-2.456563e-44	5.290650e-45	-5.290650e-45	-2.456563e-44
396.125000	-2.352945e-44	8.699485e-45	-8.699485e-45	-2.352945e-44
396.250000	-2.202407e-44	1.192139e-44	-1.192139e-44	-2.202407e-44
396.375000	-2.008153e-44	1.489235e-44	-1.489235e-44	-2.008153e-44
396.500000	-1.774254e-44	1.755366e-44	-1.755366e-44	-1.774254e-44
396.625000	-1.505558e-44	1.985308e-44	-1.985308e-44	-1.505558e-44
396.750000	-1.207594e-44	2.174585e-44	-2.174585e-44	-1.207594e-44
396.875000	-8.864521e-45	2.319553e-44	-2.319553e-44	-8.864521e-45
397.000000	-5.486644e-45	2.417477e-44	-2.417477e-44	-5.486644e-45
397.125000	-2.010690e-45	2.466572e-44	-2.466572e-44	-2.010690e-45
397.250000	1.493278e-45	2.466043e-44	-2.466043e-44	1.493278e-45
397.375000	4.954923e-45	2.416089e-44	-2.416089e-44	4.954923e-45
397.500000	8.305050e-45	2.317903e-44	-2.317903e-44	8.305050e-45
397.625000	1.147698e-44	2.173635e-44	-2.173635e-44	1.147698e-44
397.750000	1.440789e-44	1.986351e-44	-1.986351e-44	1.440789e-44
397.875000	1.704003e-44	1.759966e-44	-1.759966e-44	1.704003e-44
398.000000	1.932186e-44	1.499159e-44	-1.499159e-44	1.932186e-44
398.125000	2.120908e-44	1.209280e-44	-1.209280e-44	2.120908e-44
398.250000	2.266546e-44	8.962389e-45	-8.962389e-45	2.266546e-44
398.375000	2.366354e-44	5.663822e-45	-5.663822e-45	2.366354e-44
398.500000	2.418510e-44	2.263677e-45	-2.263677e-45	2.418510e-44
398.625000	2.422156e-44	-1.169717e-45	1.169717e-45	2.422156e-44
398.750000	2.377405e-44	-4.567646e-45	4.567646e-45	2.377405e-44
398.875000	2.285334e-44	-7.862391e-45	7.862391e-45	2.285334e-44
399.000000	2.147964e-44	-1.098857e-44	1.098857e-44	2.147964e-44
399.125000	1.968208e-44	-1.388444e-44	1.388444e-44	1.968208e-44
